measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,10.391797128
total_promotions,10
total_regular_trucks,7
expected_demand,61.5044638
expected_fulfilled_sales,58.810233236
expected_lost_sales,2.694230564
expected_fill_rate,0.956194552
expected_shipped_quantity,51.547912236
expected_used_capacity,999.979141264
expected_available_capacity,1050
capacity_utilization,0.952361087
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.353304082
expected_full_consumer_discount_value,13.533040822
max_scenario_period_retailer_funded_markdown,0.560403388
mip_relative_gap,0
branch_and_cut_nodes,0
