measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.764976878
total_promotions,12
total_regular_trucks,10
expected_demand,63.0177735
expected_fulfilled_sales,62.083337273
expected_lost_sales,0.934436227
expected_fill_rate,0.985171862
expected_shipped_quantity,54.821016273
expected_used_capacity,1058.734283182
expected_available_capacity,1500
capacity_utilization,0.705822855
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.449728127
expected_full_consumer_discount_value,14.49728127
max_scenario_period_retailer_funded_markdown,0.597878842
mip_relative_gap,0
branch_and_cut_nodes,134
