measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.560581476
total_promotions,10
total_regular_trucks,10
expected_demand,61.5155335
expected_fulfilled_sales,60.935426578
expected_lost_sales,0.580106922
expected_fill_rate,0.990569749
expected_shipped_quantity,53.673105578
expected_used_capacity,1038.704581521
expected_available_capacity,1500
capacity_utilization,0.692469721
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.336592793
expected_full_consumer_discount_value,13.36592793
max_scenario_period_retailer_funded_markdown,0.5791275
mip_relative_gap,0.000090422
branch_and_cut_nodes,230
