scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.015625,31.846308,31.846308,0,1,24.583987,472.446552994,1350
2,0.03125,33.3988348,33.3988348,0,1,26.1365138,503.981496064,1350
3,0.015625,34.9513616,34.9513616,0,1,27.6890406,535.516439133,1350
4,0.03125,34.6383372,34.6383372,0,1,27.3760162,524.959020827,1350
5,0.0625,36.190864,36.190864,0,1,28.928543,556.493963897,1350
6,0.03125,37.7433908,37.7433908,0,1,30.4810698,588.028906967,1350
7,0.015625,37.4303664,37.4303664,0,1,30.1680454,577.471488661,1350
8,0.03125,38.9828932,38.9828932,0,1,31.7205722,609.00643173,1350
9,0.015625,40.53542,40.53542,0,1,33.273099,640.5413748,1350
10,0.03125,57.152528,57.152528,0,1,49.890207,965.114770189,1350
11,0.0625,58.7050548,58.7050548,0,1,51.4427338,996.649713259,1350
12,0.03125,60.2575816,60.2575816,0,1,52.9952606,1028.184656329,1350
13,0.0625,59.9445572,59.9445572,0,1,52.6822362,1017.627238023,1350
14,0.125,61.497084,61.497084,0,1,54.234763,1049.162181093,1350
15,0.0625,63.0496108,63.0496108,0,1,55.7872898,1080.697124163,1350
16,0.03125,62.7365864,62.7365864,0,1,55.4742654,1070.139705856,1350
17,0.0625,64.2891132,64.2891132,0,1,57.0267922,1101.674648926,1350
18,0.03125,65.84164,65.84164,0,1,58.579319,1133.209591996,1350
19,0.015625,82.532546,76.711976053,5.820569947,0.929475459,69.449655053,1350,1350
20,0.03125,84.0850728,76.590925083,7.494147717,0.91087422,69.328604083,1350,1350
21,0.015625,85.6375996,76.469874114,9.167725486,0.892947426,69.207553114,1350,1350
22,0.03125,85.3245752,76.717138044,8.607437156,0.899121242,69.454817044,1350,1350
23,0.0625,86.877102,76.596087075,10.281014925,0.881660245,69.333766075,1350,1350
24,0.03125,88.4296288,76.475036106,11.954592694,0.864812361,69.212715106,1350,1350
25,0.015625,88.1166044,76.722300035,11.394304365,0.87069061,69.459979035,1350,1350
26,0.03125,89.6691312,76.601249066,13.067882134,0.854265543,69.338928066,1350,1350
27,0.015625,91.221658,76.480198097,14.741459903,0.838399562,69.217877097,1350,1350
