measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.538555911
total_promotions,10
total_regular_trucks,9
expected_demand,61.5155335
expected_fulfilled_sales,58.953924982
expected_lost_sales,2.561608518
expected_fill_rate,0.958358347
expected_shipped_quantity,51.691603982
expected_used_capacity,1001.204581521
expected_available_capacity,1350
capacity_utilization,0.741633023
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.317878005
expected_full_consumer_discount_value,13.178780046
max_scenario_period_retailer_funded_markdown,0.583758027
mip_relative_gap,0.000076383
branch_and_cut_nodes,276
