measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,7.381901052
total_promotions,10
total_regular_trucks,11
expected_demand,69.2781675
expected_fulfilled_sales,68.596235177
expected_lost_sales,0.681932323
expected_fill_rate,0.990156606
expected_shipped_quantity,61.333914177
expected_used_capacity,1194.460618033
expected_available_capacity,1650
capacity_utilization,0.723915526
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.411089717
expected_full_consumer_discount_value,14.110897165
max_scenario_period_retailer_funded_markdown,0.596001705
mip_relative_gap,0.000030556
branch_and_cut_nodes,540
