scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.015625,31.846308,31.846308,0,1,24.583987,472.446552994,1050
2,0.03125,33.3988348,33.3988348,0,1,26.1365138,503.981496064,1050
3,0.015625,34.9513616,34.9513616,0,1,27.6890406,535.516439133,1050
4,0.03125,34.6383372,34.6383372,0,1,27.3760162,524.959020827,1050
5,0.0625,36.190864,36.190864,0,1,28.928543,556.493963897,1050
6,0.03125,37.7433908,37.7433908,0,1,30.4810698,588.028906967,1050
7,0.015625,37.4303664,37.4303664,0,1,30.1680454,577.471488661,1050
8,0.03125,38.9828932,38.9828932,0,1,31.7205722,609.00643173,1050
9,0.015625,40.53542,40.53542,0,1,33.273099,640.5413748,1050
10,0.03125,57.152528,57.152528,0,1,49.890207,965.114770189,1050
11,0.0625,58.7050548,58.7050548,0,1,51.4427338,996.649713259,1050
12,0.03125,60.2575816,60.2575816,0,1,52.9952606,1028.184656329,1050
13,0.0625,59.9445572,59.9445572,0,1,52.6822362,1017.627238023,1050
14,0.125,61.497084,61.497084,0,1,54.234763,1049.162181093,1050
15,0.0625,63.0496108,61.420496568,1.629114232,0.974161391,54.158175568,1050,1050
16,0.03125,62.7365864,61.667760497,1.068825903,0.982963276,54.405439497,1050,1050
17,0.0625,64.2891132,61.546709528,2.742403672,0.957342643,54.284388528,1050,1050
18,0.03125,65.84164,61.425658559,4.415981441,0.932930264,54.163337559,1050,1050
19,0.015625,82.532546,60.596629241,21.935916759,0.734214951,53.334308241,1050,1050
20,0.03125,84.0850728,60.285089128,23.799983672,0.716953522,53.022768128,1050,1050
21,0.015625,85.6375996,59.973549015,25.664050585,0.70031796,52.711228015,1050,1050
22,0.03125,85.3245752,60.246336477,25.078238723,0.706084224,52.984015477,1050,1050
23,0.0625,86.877102,59.934796364,26.942305636,0.689880244,52.672475364,1050,1050
24,0.03125,88.4296288,59.623256251,28.806372549,0.67424524,52.360935251,1050,1050
25,0.015625,88.1166044,59.896043714,28.220560686,0.679736176,52.633722714,1050,1050
26,0.03125,89.6691312,59.584503601,30.084627599,0.664492929,52.322182601,1050,1050
27,0.015625,91.221658,59.272963487,31.948694513,0.649768539,52.010642487,1050,1050
