measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,3.239012109
total_promotions,10
total_regular_trucks,7
expected_demand,61.5155335
expected_fulfilled_sales,54.779957091
expected_lost_sales,6.735576409
expected_fill_rate,0.890506088
expected_shipped_quantity,47.517636091
expected_used_capacity,926.204581521
expected_available_capacity,1050
capacity_utilization,0.882099601
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.342347325
expected_full_consumer_discount_value,13.423473251
max_scenario_period_retailer_funded_markdown,0.560403388
mip_relative_gap,0
branch_and_cut_nodes,0
