measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,9.049605971
total_promotions,10
total_regular_trucks,7
expected_demand,61.5081537
expected_fulfilled_sales,57.466807855
expected_lost_sales,4.041345845
expected_fill_rate,0.934295771
expected_shipped_quantity,50.204486855
expected_used_capacity,975.387621349
expected_available_capacity,1050
capacity_utilization,0.928940592
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.34965183
expected_full_consumer_discount_value,13.496518298
max_scenario_period_retailer_funded_markdown,0.560403388
mip_relative_gap,0
branch_and_cut_nodes,0
