measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,13.076179442
total_promotions,10
total_regular_trucks,7
expected_demand,61.497084
expected_fulfilled_sales,61.497084
expected_lost_sales,-6.938893904e-17
expected_fill_rate,1
expected_shipped_quantity,54.234763
expected_used_capacity,1049.162181093
expected_available_capacity,1050
capacity_utilization,0.999202077
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.360608587
expected_full_consumer_discount_value,13.606085869
max_scenario_period_retailer_funded_markdown,0.452847606
mip_relative_gap,0
branch_and_cut_nodes,0
