measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.236768981
total_promotions,9
total_regular_trucks,9
expected_demand,58.3128135
expected_fulfilled_sales,56.585874661
expected_lost_sales,1.726938839
expected_fill_rate,0.970384917
expected_shipped_quantity,49.323553661
expected_used_capacity,953.533261516
expected_available_capacity,1350
capacity_utilization,0.706320934
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.220896282
expected_full_consumer_discount_value,12.208962824
max_scenario_period_retailer_funded_markdown,0.507841446
mip_relative_gap,0
branch_and_cut_nodes,0
