measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,11.304294686
total_promotions,10
total_regular_trucks,5
expected_demand,61.5155335
expected_fulfilled_sales,42.243609303
expected_lost_sales,19.271924197
expected_fill_rate,0.686714508
expected_shipped_quantity,34.981288303
expected_used_capacity,701.623490974
expected_available_capacity,750
capacity_utilization,0.935497988
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.243571544
expected_full_consumer_discount_value,12.435715444
max_scenario_period_retailer_funded_markdown,0.51338891
mip_relative_gap,0
branch_and_cut_nodes,0
