scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.015625,25.3681376,25.3681376,0,1,18.1058166,341.255711139,1200
2,0.03125,25.3681376,25.3681376,0,1,18.1058166,341.255711139,1200
3,0.015625,25.3681376,25.3681376,0,1,18.1058166,341.255711139,1200
4,0.03125,28.093151,28.093151,0,1,20.83083,392.505411579,1200
5,0.0625,28.093151,28.093151,0,1,20.83083,392.505411579,1200
6,0.03125,28.093151,28.093151,0,1,20.83083,392.505411579,1200
7,0.015625,30.8181644,30.8181644,0,1,23.5558434,443.755112019,1200
8,0.03125,30.8181644,30.8181644,0,1,23.5558434,443.755112019,1200
9,0.015625,30.8181644,30.8181644,0,1,23.5558434,443.755112019,1200
10,0.03125,50.6743576,50.6743576,0,1,43.4120366,833.923928335,1200
11,0.0625,50.6743576,50.6743576,0,1,43.4120366,833.923928335,1200
12,0.03125,50.6743576,50.6743576,0,1,43.4120366,833.923928335,1200
13,0.0625,53.399371,53.399371,0,1,46.13705,885.173628775,1200
14,0.125,53.399371,53.399371,0,1,46.13705,885.173628775,1200
15,0.0625,53.399371,53.399371,0,1,46.13705,885.173628775,1200
16,0.03125,56.1243844,56.1243844,0,1,48.8620634,936.423329214,1200
17,0.0625,56.1243844,56.1243844,0,1,48.8620634,936.423329214,1200
18,0.03125,56.1243844,56.1243844,0,1,48.8620634,936.423329214,1200
19,0.015625,76.0543756,69.235592691,6.818782909,0.910343319,61.973271691,1200,1200
20,0.03125,76.0543756,69.235592691,6.818782909,0.910343319,61.973271691,1200,1200
21,0.015625,76.0543756,69.235592691,6.818782909,0.910343319,61.973271691,1200,1200
22,0.03125,78.779389,69.240754682,9.538634318,0.878919671,61.978433682,1200,1200
23,0.0625,78.779389,69.240754682,9.538634318,0.878919671,61.978433682,1200,1200
24,0.03125,78.779389,69.240754682,9.538634318,0.878919671,61.978433682,1200,1200
25,0.015625,81.5044024,69.21930237,12.28510003,0.849270718,61.95698137,1200,1200
26,0.03125,81.5044024,69.21930237,12.28510003,0.849270718,61.95698137,1200,1200
27,0.015625,81.5044024,69.21930237,12.28510003,0.849270718,61.95698137,1200,1200
