measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,5.760399431
total_promotions,9
total_regular_trucks,8
expected_demand,53.4178205
expected_fulfilled_sales,51.031498527
expected_lost_sales,2.386321973
expected_fill_rate,0.955327231
expected_shipped_quantity,43.769177527
expected_used_capacity,840.713167282
expected_available_capacity,1200
capacity_utilization,0.700594306
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.208849487
expected_full_consumer_discount_value,12.088494866
max_scenario_period_retailer_funded_markdown,0.54233845
mip_relative_gap,0
branch_and_cut_nodes,0
