measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,5.788234646
total_promotions,9
total_regular_trucks,9
expected_demand,53.4178205
expected_fulfilled_sales,53.02330873
expected_lost_sales,0.39451177
expected_fill_rate,0.992614604
expected_shipped_quantity,45.76098773
expected_used_capacity,878.213167282
expected_available_capacity,1350
capacity_utilization,0.650528272
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.209337782
expected_full_consumer_discount_value,12.093377822
max_scenario_period_retailer_funded_markdown,0.502213751
mip_relative_gap,0.000012989
branch_and_cut_nodes,0
