scenario,probability,total_demand,fulfilled_sales,lost_sales,fill_rate,shipped_quantity,used_capacity,available_capacity
1,0.015625,30.177732,30.177732,0,1,22.915411,440.110165019,1350
2,0.03125,31.3801306,31.3801306,0,1,24.1178096,464.823778489,1350
3,0.015625,32.5825292,32.5825292,0,1,25.3202082,489.537391958,1350
4,0.03125,32.9027454,32.9027454,0,1,25.6404244,491.359865458,1350
5,0.0625,34.105144,34.105144,0,1,26.842823,516.073478928,1350
6,0.03125,35.3075426,35.3075426,0,1,28.0452216,540.787092398,1350
7,0.015625,35.6277588,35.6277588,0,1,28.3654378,542.609565898,1350
8,0.03125,36.8301574,36.8301574,0,1,29.5678364,567.323179368,1350
9,0.015625,38.032556,38.032556,0,1,30.770235,592.036792838,1350
10,0.03125,55.483952,55.483952,0,1,48.221631,932.778382214,1350
11,0.0625,56.6863506,56.6863506,0,1,49.4240296,957.491995684,1350
12,0.03125,57.8887492,57.8887492,0,1,50.6264282,982.205609154,1350
13,0.0625,58.2089654,58.2089654,0,1,50.9466444,984.028082654,1350
14,0.125,59.411364,59.411364,0,1,52.149043,1008.741696124,1350
15,0.0625,60.6137626,60.6137626,0,1,53.3514416,1033.455309594,1350
16,0.03125,60.9339788,60.9339788,0,1,53.6716578,1035.277783094,1350
17,0.0625,62.1363774,62.1363774,0,1,54.8740564,1059.991396564,1350
18,0.03125,63.338776,63.338776,0,1,56.076455,1084.705010034,1350
19,0.015625,80.86397,76.759510969,4.104459031,0.949242425,69.497189969,1350,1350
20,0.03125,82.0663686,76.650343729,5.416024871,0.934004331,69.388022729,1350,1350
21,0.015625,83.2687672,76.541176489,6.727590711,0.919206313,69.278855489,1350,1350
22,0.03125,83.5889834,76.76467296,6.82431044,0.918358734,69.50235196,1350,1350
23,0.0625,84.791382,76.65550572,8.13587628,0.904048311,69.39318472,1350,1350
24,0.03125,85.9937806,76.559140787,9.434639813,0.890286952,69.296819787,1350,1350
25,0.015625,86.3139968,76.769834952,9.544161848,0.889425097,69.507513952,1350,1350
26,0.03125,87.5163954,76.683522207,10.832873193,0.876218929,69.421201207,1350,1350
27,0.015625,88.718794,76.615913509,12.102880491,0.863581549,69.353592509,1350,1350
