measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.313518774
total_promotions,9
total_regular_trucks,9
expected_demand,59.4298135
expected_fulfilled_sales,57.397965159
expected_lost_sales,2.031848341
expected_fill_rate,0.965810959
expected_shipped_quantity,50.135644159
expected_used_capacity,970.889217794
expected_available_capacity,1350
capacity_utilization,0.719177198
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.231892584
expected_full_consumer_discount_value,12.318925843
max_scenario_period_retailer_funded_markdown,0.549740142
mip_relative_gap,0
branch_and_cut_nodes,0
