measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,6.554027694
total_promotions,10
total_regular_trucks,10
expected_demand,61.5155335
expected_fulfilled_sales,60.930917077
expected_lost_sales,0.584616423
expected_fill_rate,0.990496442
expected_shipped_quantity,53.668596077
expected_used_capacity,1038.61960974
expected_available_capacity,1500
capacity_utilization,0.692413073
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.324479911
expected_full_consumer_discount_value,13.244799107
max_scenario_period_retailer_funded_markdown,0.539638739
mip_relative_gap,0
branch_and_cut_nodes,0
