measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,17.08618394
total_promotions,10
total_regular_trucks,10
expected_demand,84.639491
expected_fulfilled_sales,84.639491
expected_lost_sales,0
expected_fill_rate,1
expected_shipped_quantity,77.37717
expected_used_capacity,1498.815910545
expected_available_capacity,1500
capacity_utilization,0.999210607
retailer_promo_share,0.1
expected_retailer_funded_markdown,1.752170372
expected_full_consumer_discount_value,17.521703723
max_scenario_period_retailer_funded_markdown,0.57776934
mip_relative_gap,0.000095911
branch_and_cut_nodes,0
