measure,value
model,base_no_emergency_promo_frequency_with_cogs
objective,8.507369757
total_promotions,10
total_regular_trucks,3
expected_demand,30.845242
expected_fulfilled_sales,30.793517842
expected_lost_sales,0.051724146
expected_fill_rate,0.998323107
expected_shipped_quantity,23.531196842
expected_used_capacity,450
expected_available_capacity,450
capacity_utilization,1
retailer_promo_share,0.1
expected_retailer_funded_markdown,0.991520167
expected_full_consumer_discount_value,9.915201673
max_scenario_period_retailer_funded_markdown,0.352313845
mip_relative_gap,0.000044782
branch_and_cut_nodes,444
